Student_Index,Attorneys and Law Offices,Engineering,Arts and Crafts,Management,Online Advertising,Public Relations,Web Design and Development,Human Resources,Media,Art Dealers and Galleries,State,District,Faculty_Domain,GOT,Employed
UG1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,No
UG1047,8.0,8.0,6.0,1.0,6.0,4.0,2.0,8.0,0.0,6.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG1048,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,KELANTAN,Jajahan Kota Bharu,MANAGEMENT,No,Yes
UG1049,8.0,8.0,6.0,1.0,8.0,8.0,7.0,8.0,4.0,0.0,JOHOR,Johor Bahru,ENGINEERING,Yes,Yes
UG1050,1.0,8.0,6.0,1.0,8.0,5.0,8.0,0.0,1.0,6.0,MELAKA,Melaka Tengah,ENGINEERING,Yes,Yes
UG1051,8.0,8.0,6.0,0.0,0.0,8.0,8.0,8.0,1.0,6.0,SELANGOR,Petaling,FAC,Yes,No
UG1052,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,SELANGOR,Petaling,MANAGEMENT,Yes,No
UG1053,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,SELANGOR,Gombak,IT,No,Yes
UG1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PERLIS,Tiada - Perlis,ENGINEERING,Yes,Yes
UG1055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,KELANTAN,Jajahan Pasir Puteh,FAC,Yes,No
UG1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,Seberang Perai Utara,LAW,Yes,Yes
UG1057,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,0.0,JOHOR,Segamat,LAW,Yes,Yes
UG1058,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,MELAKA,Melaka Tengah,LAW,Yes,Yes
UG1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,Seberang Perai Tengah,LAW,Yes,Yes
UG1060,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,SARAWAK,Bahagian Kuching,LAW,Yes,Yes
UG1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Alor Gajah,LAW,Yes,Yes
UG1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Klang,LAW,Yes,Yes
UG1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,Seberang Perai Utara,LAW,Yes,Yes
UG1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,LAW,Yes,Yes
UG1065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TRENGGANU,Dungun,ENGINEERING,Yes,Yes
UG1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Klang,IT,No,No
UG1070,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SABAH,Kota Kinabalu,IT,No,No
UG1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,LAW,Yes,Yes
UG1075,8.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,PERAK,Kinta,LAW,Yes,No
UG1076,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,KUALA LUMPUR,Tiada - K.Lumpur,LAW,Yes,Yes
UG1077,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,JOHOR,Muar,IT,Yes,No
UG1078,0.0,0.0,6.0,1.0,0.0,4.0,0.0,8.0,1.0,8.0,PULAU PINANG,Seberang Perai Utara,LAW,Yes,Yes
UG1079,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,MELAKA,Melaka Tengah,LAW,Yes,Yes
UG108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SARAWAK,Bahagian Kuching,MANAGEMENT,No,Yes
UG1080,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MELAKA,Alor Gajah,LAW,Yes,Yes
UG1081,0.0,0.0,6.0,0.0,0.0,8.0,1.0,8.0,0.0,6.0,PULAU PINANG,Timor Laut,LAW,Yes,Yes
UG1082,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,NEGERI SEMBILAN,Tampin,ENGINEERING,Yes,No_data
UG1083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,Seberang Perai Tengah,LAW,Yes,Yes
UG1084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,Seberang Perai Tengah,LAW,No,Yes
UG1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,ENGINEERING,Yes,Yes
UG109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,No_data
UG1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAHANG,Temerloh,LAW,No,Yes
UG1095,8.0,3.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,MELAKA,Alor Gajah,ENGINEERING,No,Yes
UG1096,8.0,0.0,3.0,0.0,7.0,3.0,3.0,7.0,0.0,4.0,SELANGOR,Kuala Langat,LAW,No,Yes
UG1097,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,KUALA LUMPUR,Tiada - K.Lumpur,FCM,No,Yes
UG1098,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,SARAWAK,Bahagian Miri,ENGINEERING,Yes,No
UG1099,8.0,0.0,0.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG11,8.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,JOHOR,Tangkak,MANAGEMENT,Yes,No
UG1100,1.0,8.0,6.0,1.0,1.0,1.0,1.0,8.0,1.0,8.0,SELANGOR,Gombak,FAC,No,Yes
UG1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OVERSEAS,No_data,ENGINEERING,No,No_data
UG1102,0.0,0.0,7.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,SELANGOR,Petaling,MANAGEMENT,No,Yes
UG1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Johor Bahru,ENGINEERING,No,Yes
UG1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SARAWAK,Bahagian Miri,ENGINEERING,Yes,Yes
UG1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Sepang,FCM,Yes,No
UG1106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAHANG,Kuantan,FCM,No,No
UG1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Pontian,MANAGEMENT,No,Yes
UG1108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,No
UG1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Johor Bahru,MANAGEMENT,Yes,Yes
UG111,0.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,1.0,0.0,SELANGOR,Petaling,IT,No,Yes
UG1110,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MELAKA,Alor Gajah,MANAGEMENT,Yes,Yes
UG1111,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,JOHOR,Mersing,MANAGEMENT,Yes,Yes
UG1112,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,No,Yes
UG1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,No,Yes
UG1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Tangkak,MANAGEMENT,No,No
UG1115,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,SELANGOR,Kuala Selangor,MANAGEMENT,Yes,No
UG1116,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,No,Yes
UG1117,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG1119,0.0,8.0,0.0,0.0,2.0,8.0,2.0,8.0,0.0,0.0,SELANGOR,Sepang,FAC,Yes,Yes
