Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
U2022_1188,Yes,3D Generalist,CYBER,B.Mm. (Hons) (Ani & Vis Efcts),FCM,Yes,3.00-3.49,3.00-3.49,no_data,2.50-2.99,3.00-3.49,no_data,3.50-4.00,2.50-2.99,2.50-2.99,no_data,no_data,no_data,Loan,Diploma,D,D,Band 3,D,D,no_data,no_data,no_data,no_data,no_data,no_data,no_data,D,SELANGOR,Malaysian,Indian,Male,No,Other,Arts/Media/Communications,Arts/Creative Design,4,1
U2022_1189,Yes,Industrial Transportation Executive,CYBER,B. B. Mgt. (Hons),MANAGEMENT,No,2.00-2.49,0-1.99,3.00-3.49,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,2.50-2.99,no_data,no_data,no_data,Self-sponsored,IPTS,C,A,Band 4,B,C,no_data,no_data,no_data,no_data,no_data,no_data,no_data,B,SELANGOR,Malaysian,Malay,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
U2022_1190,Yes,Assistant Counsel,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,no_data,2.00-2.49,2.00-2.49,3.00-3.49,Loan,STPM,A,A,Band 4,A,A,C,B,B,B,A,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_1191,Yes,Engineering Technician,CYBER,B.E. (Hons) (Electronics),ENGINEERING,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.50-4.00,2.00-2.49,no_data,Scholarship,IPTS,A,B,Band 4,A,B,B,A,B,B,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Malay,Female,No,Single,Manufacturing,Manufacturing,5,1
U2022_1192,Yes,Accountant,CYBER,B.Fin. (Hons),MANAGEMENT,No,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Scholarship,IPTS,A,A,Band 4,A,A,A,A,A,A,no_data,no_data,no_data,no_data,NEGERI SEMBILAN,Malaysian,Malay,Female,No,Single,Accounting/Finance,General/Cost Accounting,2,0
U2022_1193,Yes,Software Developer,CYBER,B.C.S (Hons) Software Eng.,IT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,B,A,Band 4,A,C,B,B,D,C,B,B,no_data,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
U2022_1195,Yes,Advertising Business Services Salesperson,MLAKA,B.B.A. (Hons) (Mktg. Mgmt.),MANAGEMENT,No,3.00-3.49,2.50-2.99,0-1.99,2.50-2.99,2.50-2.99,2.00-2.49,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,Self-sponsored,IPTS,B,A,Band 4,A,B,A,A,B,C,no_data,C,no_data,no_data,PULAU PINANG,Malaysian,Indian,Male,No,Single,Sales/Marketing,Sales,3,0
U2022_1196,Yes,Film and Video Editor,CYBER,B. Cine. Arts (Hons),FCA,Yes,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,no_data,3.50-4.00,no_data,no_data,no_data,no_data,Self-sponsored,Diploma,C,A,Band 4,A,B,no_data,no_data,no_data,no_data,B,no_data,no_data,A,SELANGOR,Malaysian,Chinese,Male,Yes,Single,Arts/Media/Communications,Entertainment,4,1
U2022_1197,Yes,Bank Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,Yes,2.50-2.99,3.50-4.00,3.00-3.49,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,no_data,no_data,no_data,Loan,Diploma,C,D,Band 3,A,C,no_data,no_data,no_data,no_data,B,C,A,A,JOHOR,Malaysian,Chinese,Male,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
U2022_1198,Yes,Sales and Marketing Executive,CYBER,B. Cine. Arts (Hons),FCA,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,C,B,Band 4,B,B,D,C,D,no_data,B,no_data,no_data,no_data,NEGERI SEMBILAN,Malaysian,Indian,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
